ID	@	City	@	Project ID	@	Betterplace NGO	@	Project Titel	@	Link to project	@	SDG_1	@	SDG_2	@	SDG_3	@	SDG_4	@	CHECKED
53	@		@	36704	@	Schneekönige e.V.	@	Wunscherfüllungen für Wohnungslose in der Corona-Krise	@	https://www.betterplace.org/de/projects/36704-wunscherfuellungen-fuer-wohnungslose-in-der-corona-krise	@	11	@		@		@		@	MUNCHEN
54	@		@	60558	@	Stiftung für Innovative Medizin	@	Kampf gegen kindliche Gehirntumore #DIPGfighter	@	https://www.betterplace.org/de/projects/60558-kampf-gegen-kindliche-gehirntumore-dipgfighter	@	3	@		@		@		@	MUNCHEN
55	@		@	23673	@	buntkicktgut gemeinnützige GmbH	@	buntkicktgut - interkultureller Straßenfußball für Kinder und Jugendliche	@	https://www.betterplace.org/de/projects/23673-buntkicktgut-interkultureller-strassenfussball-fuer-kinder-und-jugendliche	@	10	@		@		@		@	MUNCHEN
56	@		@	624	@	HORIZONT e.V.	@	Hilfe gerade in Corona-Zeiten: für obdachlose Kinder und ihre Mütter!	@	https://www.betterplace.org/de/projects/624-hilfe-gerade-in-corona-zeiten-fuer-obdachlose-kinder-und-ihre-muetter	@	5	@	10	@		@		@	MUNCHEN
57	@		@	77117	@	German Doctors e.V	@	Ärzte für Flüchtlinge – Medizinische Hilfe in Deutschland und Griechenland	@	https://www.betterplace.org/de/projects/77117-rettet-die-slumschulen-in-dhaka-bangladesch	@	3	@		@		@	 	@	MUNCHEN
58	@		@	22422	@	Handicap International e.V., München	@	Syrien: Hilfe für Menschen mit Behinderung - Handicap International e.V.	@	https://www.betterplace.org/de/projects/22422-syrien-hilfe-fuer-menschen-mit-behinderung-handicap-international-e-v	@	3	@	10	@		@		@	MUNCHEN
59	@		@	43646	@	Pro REGENWALD e.V.	@	Baumpaten gesucht - Unterstütze die Regenwaldaufforstung in Costa Rica	@	https://www.betterplace.org/de/projects/43646-baumpaten-gesucht-unterstuetze-die-regenwaldaufforstung-in-costa-rica	@	13	@		@		@		@	MUNCHEN
60	@		@	49193	@	ArrivalAid gUG (haftungsbeschränkt)	@	Unterstütze Geflüchtete im Asyl- und Klageverfahren in München und Umgebung	@	https://www.betterplace.org/de/projects/49193-unterstuetze-gefluechtete-im-asyl-und-klageverfahren-in-muenchen-und-umgebung	@	16	@		@		@		@	MUNCHEN
61	@		@	7927	@	BoysToMen Mentoring München e.V.	@	BoysToMen Mentoring München e.V.	@	https://www.betterplace.org/de/projects/7927-boystomen-mentoring-muenchen-e-v	@	3	@		@		@		@	MUNCHEN
62	@		@	49472	@	Hilf Mahl München e.V.	@	Hilf Mahl! München - Der Obdachlosen Obulus	@	https://www.betterplace.org/de/projects/49472-hilf-mahl-muenchen-der-obdachlosen-obulus	@	11	@		@		@		@	MUNCHEN
